time (seconds),Sweep 0_Clamp Current (pA),Sweep 1_Clamp Current (pA),Sweep 2_Clamp Current (pA),Sweep 3_Clamp Current (pA),Sweep 4_Clamp Current (pA),Sweep 5_Clamp Current (pA),Sweep 6_Clamp Current (pA),Sweep 7_Clamp Current (pA),Sweep 8_Clamp Current (pA)
0.0,5.4931640625,2.44140625,7.32421875,1.8310546875,6.103515625,8.544921875,3.662109375,6.103515625,0.6103515625
0.0002,4.2724609375,-0.6103515625,2.44140625,0.0,7.32421875,4.2724609375,-1.8310546875,3.0517578125,8.544921875
0.0004,4.2724609375,3.0517578125,5.4931640625,5.4931640625,8.544921875,0.6103515625,3.0517578125,9.1552734375,9.1552734375
0.0006000000000000001,4.8828125,7.9345703125,8.544921875,-0.6103515625,9.1552734375,0.0,8.544921875,0.6103515625,1.8310546875
0.0008,2.44140625,7.9345703125,0.0,4.2724609375,7.32421875,-0.6103515625,5.4931640625,3.662109375,1.8310546875
0.001,1.8310546875,4.8828125,1.8310546875,6.7138671875,3.0517578125,1.220703125,0.6103515625,6.103515625,4.8828125
0.0012000000000000001,3.0517578125,1.220703125,5.4931640625,3.0517578125,0.0,1.8310546875,-2.44140625,0.6103515625,0.6103515625
0.0014,1.8310546875,-1.220703125,6.103515625,2.44140625,-1.8310546875,4.2724609375,0.6103515625,3.662109375,7.9345703125
0.0016,-0.6103515625,0.6103515625,2.44140625,7.9345703125,0.6103515625,3.0517578125,5.4931640625,9.765625,0.6103515625
0.0018000000000000002,-1.8310546875,2.44140625,0.6103515625,1.220703125,-1.8310546875,-1.8310546875,7.9345703125,4.8828125,6.7138671875
0.002,0.6103515625,1.220703125,3.0517578125,7.9345703125,-0.6103515625,0.0,7.32421875,-0.6103515625,6.7138671875
0.0022,5.4931640625,1.220703125,7.32421875,4.2724609375,6.103515625,-3.0517578125,4.2724609375,1.220703125,0.0
0.0024000000000000002,9.1552734375,1.8310546875,9.765625,2.44140625,0.0,1.220703125,4.8828125,9.1552734375,3.662109375
0.0026000000000000003,4.8828125,4.8828125,8.544921875,9.1552734375,4.2724609375,5.4931640625,-0.6103515625,10.3759765625,6.103515625
0.0028,1.220703125,3.662109375,4.8828125,5.4931640625,7.9345703125,9.1552734375,0.0,4.2724609375,0.0
0.003,0.6103515625,2.44140625,0.0,0.6103515625,6.7138671875,5.4931640625,-1.8310546875,0.6103515625,-2.44140625
0.0032,4.8828125,1.220703125,-0.6103515625,1.8310546875,0.6103515625,1.220703125,0.0,0.0,3.0517578125
0.0034000000000000002,3.662109375,-1.220703125,-0.6103515625,6.103515625,3.0517578125,-0.6103515625,0.6103515625,3.0517578125,7.9345703125
0.0036000000000000003,0.6103515625,0.0,-1.8310546875,6.7138671875,4.2724609375,2.44140625,-0.6103515625,6.103515625,3.0517578125
0.0038,6.103515625,2.44140625,-0.6103515625,1.8310546875,1.8310546875,6.103515625,4.8828125,9.1552734375,-1.220703125
0.004,1.8310546875,7.9345703125,1.8310546875,-1.220703125,3.0517578125,0.6103515625,4.8828125,8.544921875,-0.6103515625
0.004200000000000001,3.662109375,6.7138671875,1.8310546875,0.0,6.7138671875,4.2724609375,9.765625,7.9345703125,3.0517578125
0.0044,7.32421875,1.8310546875,0.6103515625,3.0517578125,-1.220703125,7.32421875,7.9345703125,9.1552734375,6.7138671875
0.0046,3.0517578125,-0.6103515625,1.8310546875,5.4931640625,3.0517578125,7.32421875,3.0517578125,7.9345703125,7.9345703125
0.0048000000000000004,0.6103515625,-1.220703125,3.0517578125,7.9345703125,7.32421875,0.0,0.0,10.3759765625,4.2724609375
0.005,8.544921875,3.662109375,4.8828125,10.986328125,1.220703125,7.32421875,3.0517578125,7.9345703125,1.8310546875
0.005200000000000001,0.0,3.0517578125,7.32421875,9.1552734375,-0.6103515625,0.6103515625,9.1552734375,7.32421875,0.6103515625
0.0054,2.44140625,4.2724609375,9.1552734375,6.7138671875,2.44140625,9.1552734375,1.220703125,6.103515625,-3.0517578125
