time (seconds),Sweep 0_Membrane Potential (mV),Sweep 1_Membrane Potential (mV),Sweep 2_Membrane Potential (mV),Sweep 3_Membrane Potential (mV),Sweep 4_Membrane Potential (mV),Sweep 5_Membrane Potential (mV),Sweep 6_Membrane Potential (mV),Sweep 7_Membrane Potential (mV),Sweep 8_Membrane Potential (mV)
0.0074,-63.323974609375,-63.079833984375,-63.78173828125,-63.720703125,-62.92724609375,-63.568115234375,-63.232421875,-62.92724609375,-62.957763671875
0.0076,-63.720703125,-62.8662109375,-63.751220703125,-63.446044921875,-62.957763671875,-63.3544921875,-62.98828125,-62.652587890625,-62.98828125
0.0078000000000000005,-63.720703125,-62.713623046875,-63.568115234375,-63.17138671875,-62.98828125,-63.17138671875,-63.079833984375,-62.98828125,-62.896728515625
0.008,-63.3544921875,-62.92724609375,-63.90380859375,-63.507080078125,-62.957763671875,-63.04931640625,-63.262939453125,-62.98828125,-62.6220703125
0.0082,-63.29345703125,-63.079833984375,-63.629150390625,-63.629150390625,-62.957763671875,-63.04931640625,-63.29345703125,-62.80517578125,-63.04931640625
0.008400000000000001,-63.04931640625,-62.92724609375,-63.751220703125,-63.751220703125,-62.98828125,-63.079833984375,-62.98828125,-62.835693359375,-62.591552734375
0.0086,-63.446044921875,-62.6220703125,-63.507080078125,-63.385009765625,-63.079833984375,-63.17138671875,-62.8662109375,-63.018798828125,-63.079833984375
0.0088,-63.629150390625,-62.591552734375,-63.812255859375,-63.53759765625,-63.04931640625,-63.29345703125,-62.98828125,-62.6220703125,-63.079833984375
0.009000000000000001,-63.507080078125,-63.018798828125,-63.629150390625,-63.323974609375,-63.232421875,-63.29345703125,-63.323974609375,-63.17138671875,-63.04931640625
0.0092,-63.629150390625,-63.04931640625,-63.568115234375,-63.629150390625,-63.3544921875,-63.323974609375,-63.140869140625,-63.140869140625,-62.56103515625
0.0094,-63.65966796875,-62.896728515625,-63.8427734375,-63.690185546875,-63.41552734375,-62.92724609375,-63.079833984375,-62.8662109375,-62.896728515625
0.009600000000000001,-63.78173828125,-62.6220703125,-63.812255859375,-63.29345703125,-63.1103515625,-63.41552734375,-62.835693359375,-62.92724609375,-62.56103515625
0.0098,-63.720703125,-62.744140625,-63.41552734375,-63.629150390625,-63.262939453125,-63.53759765625,-62.8662109375,-63.140869140625,-62.8662109375
0.01,-63.5986328125,-62.80517578125,-63.720703125,-63.4765625,-63.1103515625,-63.140869140625,-62.92724609375,-63.018798828125,-62.744140625
0.0102,-63.507080078125,-62.896728515625,-63.90380859375,-63.5986328125,-63.140869140625,-63.079833984375,-62.92724609375,-62.652587890625,-62.713623046875
0.010400000000000001,-63.4765625,-62.957763671875,-63.873291015625,-63.507080078125,-62.92724609375,-62.98828125,-63.140869140625,-62.530517578125,-63.140869140625
0.0106,-63.323974609375,-63.5986328125,-63.751220703125,-63.873291015625,-63.262939453125,-62.98828125,-63.140869140625,-62.92724609375,-63.04931640625
0.0108,-63.140869140625,-63.018798828125,-63.629150390625,-63.4765625,-63.079833984375,-63.4765625,-63.079833984375,-63.04931640625,-62.80517578125
0.011000000000000001,-63.262939453125,-62.957763671875,-63.53759765625,-63.323974609375,-63.41552734375,-63.568115234375,-63.17138671875,-63.140869140625,-62.80517578125
0.0112,-63.4765625,-62.957763671875,-63.720703125,-63.65966796875,-63.568115234375,-63.41552734375,-63.140869140625,-63.1103515625,-63.04931640625
0.0114,-63.65966796875,-63.04931640625,-63.934326171875,-63.568115234375,-63.323974609375,-63.17138671875,-63.079833984375,-63.04931640625,-63.1103515625
0.011600000000000001,-63.568115234375,-62.98828125,-63.873291015625,-63.323974609375,-63.17138671875,-63.04931640625,-62.92724609375,-62.80517578125,-62.92724609375
0.0118,-63.5986328125,-63.018798828125,-63.96484375,-63.4765625,-63.720703125,-63.1103515625,-62.835693359375,-62.744140625,-62.56103515625
0.012,-63.04931640625,-62.8662109375,-63.812255859375,-63.65966796875,-63.1103515625,-63.018798828125,-62.835693359375,-62.591552734375,-62.6220703125
0.0122,-63.41552734375,-62.652587890625,-63.720703125,-63.751220703125,-63.53759765625,-63.507080078125,-62.896728515625,-62.5,-62.68310546875
0.012400000000000001,-63.1103515625,-62.56103515625,-63.65966796875,-63.53759765625,-63.262939453125,-63.079833984375,-63.140869140625,-62.652587890625,-62.92724609375
